CUST_ID,Cluster,Cluster_Name
C10301,1,高频购买型客户
C10302,3,稳健消费型客户
C10303,1,高频购买型客户
C10304,3,稳健消费型客户
C10305,2,现金预付型客户
C10306,1,高频购买型客户
C10307,0,低活跃型客户
C10308,3,稳健消费型客户
C10309,1,高频购买型客户
C10310,1,高频购买型客户
C10311,3,稳健消费型客户
C10312,1,高频购买型客户
C10313,3,稳健消费型客户
C10314,2,现金预付型客户
C10315,3,稳健消费型客户
C10316,1,高频购买型客户
C10317,1,高频购买型客户
C10318,2,现金预付型客户
C10319,0,低活跃型客户
C10320,2,现金预付型客户
C10321,2,现金预付型客户
C10322,1,高频购买型客户
C10323,1,高频购买型客户
C10324,0,低活跃型客户
C10325,0,低活跃型客户
C10326,0,低活跃型客户
C10327,3,稳健消费型客户
C10328,2,现金预付型客户
C10329,2,现金预付型客户
C10330,2,现金预付型客户
C10331,3,稳健消费型客户
C10332,3,稳健消费型客户
C10333,3,稳健消费型客户
C10334,2,现金预付型客户
C10335,0,低活跃型客户
C10336,2,现金预付型客户
C10337,1,高频购买型客户
C10338,3,稳健消费型客户
C10339,0,低活跃型客户
C10340,1,高频购买型客户
C10341,0,低活跃型客户
C10342,2,现金预付型客户
C10343,1,高频购买型客户
C10344,1,高频购买型客户
C10345,3,稳健消费型客户
C10346,3,稳健消费型客户
C10347,2,现金预付型客户
C10348,1,高频购买型客户
C10349,2,现金预付型客户
C10350,2,现金预付型客户
C10351,0,低活跃型客户
C10352,3,稳健消费型客户
C10353,0,低活跃型客户
C10354,2,现金预付型客户
C10355,1,高频购买型客户
C10356,2,现金预付型客户
C10357,2,现金预付型客户
C10358,1,高频购买型客户
C10359,3,稳健消费型客户
C10360,2,现金预付型客户
C10361,0,低活跃型客户
C10362,1,高频购买型客户
C10364,3,稳健消费型客户
C10365,2,现金预付型客户
C10366,2,现金预付型客户
C10367,1,高频购买型客户
C10368,1,高频购买型客户
C10369,3,稳健消费型客户
C10370,0,低活跃型客户
C10371,0,低活跃型客户
C10372,2,现金预付型客户
C10373,0,低活跃型客户
C10374,2,现金预付型客户
C10375,1,高频购买型客户
C10376,0,低活跃型客户
C10377,1,高频购买型客户
C10378,2,现金预付型客户
C10379,1,高频购买型客户
C10380,3,稳健消费型客户
C10381,3,稳健消费型客户
C10382,1,高频购买型客户
C10383,3,稳健消费型客户
C10384,0,低活跃型客户
C10385,1,高频购买型客户
C10386,1,高频购买型客户
C10387,2,现金预付型客户
C10388,1,高频购买型客户
C10389,2,现金预付型客户
C10390,2,现金预付型客户
C10391,0,低活跃型客户
C10392,3,稳健消费型客户
C10393,0,低活跃型客户
C10395,0,低活跃型客户
C10396,2,现金预付型客户
C10397,1,高频购买型客户
C10398,0,低活跃型客户
C10399,0,低活跃型客户
C10400,3,稳健消费型客户
C10402,2,现金预付型客户
C10403,2,现金预付型客户
C10404,2,现金预付型客户
C10405,1,高频购买型客户
C10406,1,高频购买型客户
C10407,1,高频购买型客户
C10408,2,现金预付型客户
C10409,0,低活跃型客户
C10410,2,现金预付型客户
C10411,2,现金预付型客户
C10412,3,稳健消费型客户
C10413,3,稳健消费型客户
C10414,2,现金预付型客户
C10415,2,现金预付型客户
C10416,3,稳健消费型客户
C10417,1,高频购买型客户
C10419,3,稳健消费型客户
C10420,1,高频购买型客户
C10421,2,现金预付型客户
C10422,0,低活跃型客户
C10423,3,稳健消费型客户
C10424,1,高频购买型客户
C10425,0,低活跃型客户
C10426,1,高频购买型客户
C10427,2,现金预付型客户
C10428,3,稳健消费型客户
C10429,2,现金预付型客户
C10430,1,高频购买型客户
C10431,3,稳健消费型客户
C10432,1,高频购买型客户
C10433,2,现金预付型客户
C10434,3,稳健消费型客户
C10435,2,现金预付型客户
C10436,0,低活跃型客户
C10437,0,低活跃型客户
C10438,1,高频购买型客户
C10439,3,稳健消费型客户
C10441,3,稳健消费型客户
C10442,0,低活跃型客户
C10443,0,低活跃型客户
C10444,3,稳健消费型客户
C10445,3,稳健消费型客户
C10446,3,稳健消费型客户
C10447,3,稳健消费型客户
C10448,2,现金预付型客户
C10449,3,稳健消费型客户
C10450,0,低活跃型客户
C10451,3,稳健消费型客户
C10452,3,稳健消费型客户
C10453,1,高频购买型客户
C10454,0,低活跃型客户
C10455,3,稳健消费型客户
C10456,2,现金预付型客户
C10457,3,稳健消费型客户
C10458,0,低活跃型客户
C10459,2,现金预付型客户
C10460,1,高频购买型客户
C10461,3,稳健消费型客户
C10462,1,高频购买型客户
C10463,2,现金预付型客户
C10466,0,低活跃型客户
C10467,2,现金预付型客户
C10468,1,高频购买型客户
C10469,1,高频购买型客户
C10470,1,高频购买型客户
C10471,3,稳健消费型客户
C10472,1,高频购买型客户
C10473,2,现金预付型客户
C10474,2,现金预付型客户
C10475,2,现金预付型客户
C10476,2,现金预付型客户
C10477,1,高频购买型客户
C10478,1,高频购买型客户
C10480,1,高频购买型客户
C10481,2,现金预付型客户
C10482,2,现金预付型客户
C10483,0,低活跃型客户
C10484,3,稳健消费型客户
C10485,1,高频购买型客户
C10486,2,现金预付型客户
C10487,1,高频购买型客户
C10488,2,现金预付型客户
C10489,3,稳健消费型客户
C10490,3,稳健消费型客户
C10491,1,高频购买型客户
C10492,0,低活跃型客户
C10493,2,现金预付型客户
C10494,2,现金预付型客户
C10495,3,稳健消费型客户
C10497,1,高频购买型客户
C10498,0,低活跃型客户
C10501,2,现金预付型客户
C10502,2,现金预付型客户
C10503,1,高频购买型客户
C10504,0,低活跃型客户
C10505,0,低活跃型客户
C10506,1,高频购买型客户
C10507,1,高频购买型客户
C10508,3,稳健消费型客户
C10509,1,高频购买型客户
C10510,3,稳健消费型客户
C10511,1,高频购买型客户
C10512,1,高频购买型客户
C10513,3,稳健消费型客户
C10514,1,高频购买型客户
C10515,0,低活跃型客户
C10516,1,高频购买型客户
C10517,3,稳健消费型客户
C10518,0,低活跃型客户
C10519,0,低活跃型客户
C10520,2,现金预付型客户
C10521,2,现金预付型客户
C10522,2,现金预付型客户
C10523,1,高频购买型客户
C10524,2,现金预付型客户
C10525,1,高频购买型客户
C10526,2,现金预付型客户
C10527,2,现金预付型客户
C10528,2,现金预付型客户
C10529,1,高频购买型客户
C10530,0,低活跃型客户
C10532,1,高频购买型客户
C10533,2,现金预付型客户
C10534,1,高频购买型客户
C10535,3,稳健消费型客户
C10536,3,稳健消费型客户
C10537,1,高频购买型客户
C10538,1,高频购买型客户
C10539,0,低活跃型客户
C10540,0,低活跃型客户
C10542,2,现金预付型客户
C10543,2,现金预付型客户
C10544,3,稳健消费型客户
C10545,1,高频购买型客户
C10546,0,低活跃型客户
C10547,2,现金预付型客户
C10548,1,高频购买型客户
C10549,0,低活跃型客户
C10550,3,稳健消费型客户
C10551,3,稳健消费型客户
C10552,2,现金预付型客户
C10553,1,高频购买型客户
C10554,2,现金预付型客户
C10555,1,高频购买型客户
C10556,2,现金预付型客户
C10557,3,稳健消费型客户
C10558,1,高频购买型客户
C10559,2,现金预付型客户
C10560,1,高频购买型客户
C10561,3,稳健消费型客户
C10562,2,现金预付型客户
C10563,3,稳健消费型客户
C10564,1,高频购买型客户
C10565,2,现金预付型客户
C10566,3,稳健消费型客户
C10567,2,现金预付型客户
C10568,1,高频购买型客户
C10569,1,高频购买型客户
C10570,1,高频购买型客户
C10571,2,现金预付型客户
C10572,1,高频购买型客户
C10573,2,现金预付型客户
C10574,1,高频购买型客户
C10575,1,高频购买型客户
C10576,3,稳健消费型客户
C10577,1,高频购买型客户
C10578,3,稳健消费型客户
C10579,2,现金预付型客户
C10580,0,低活跃型客户
C10581,3,稳健消费型客户
C10582,3,稳健消费型客户
C10583,0,低活跃型客户
C10584,1,高频购买型客户
C10585,0,低活跃型客户
C10586,2,现金预付型客户
C10587,1,高频购买型客户
C10588,0,低活跃型客户
C10589,1,高频购买型客户
C10590,2,现金预付型客户
C10591,1,高频购买型客户
C10592,2,现金预付型客户
C10593,3,稳健消费型客户
C10594,2,现金预付型客户
C10595,3,稳健消费型客户
C10596,0,低活跃型客户
C10597,2,现金预付型客户
C10598,1,高频购买型客户
C10599,2,现金预付型客户
C10600,3,稳健消费型客户
C10601,3,稳健消费型客户
C10602,1,高频购买型客户
C10603,2,现金预付型客户
C10604,0,低活跃型客户
C10605,1,高频购买型客户
C10606,3,稳健消费型客户
C10607,3,稳健消费型客户
C10608,1,高频购买型客户
C10609,1,高频购买型客户
C10610,2,现金预付型客户
C10611,1,高频购买型客户
C10612,2,现金预付型客户
C10613,3,稳健消费型客户
C10615,1,高频购买型客户
C10616,1,高频购买型客户
C10617,1,高频购买型客户
C10618,3,稳健消费型客户
C10619,0,低活跃型客户
C10620,2,现金预付型客户
C10621,0,低活跃型客户
C10622,1,高频购买型客户
C10623,1,高频购买型客户
C10624,2,现金预付型客户
C10625,3,稳健消费型客户
C10626,0,低活跃型客户
C10627,3,稳健消费型客户
C10628,2,现金预付型客户
C10629,1,高频购买型客户
C10630,2,现金预付型客户
C10631,3,稳健消费型客户
C10632,2,现金预付型客户
C10633,3,稳健消费型客户
C10634,1,高频购买型客户
C10635,1,高频购买型客户
C10636,0,低活跃型客户
C10637,1,高频购买型客户
C10638,3,稳健消费型客户
C10639,0,低活跃型客户
C10640,3,稳健消费型客户
C10641,1,高频购买型客户
C10642,3,稳健消费型客户
C10643,2,现金预付型客户
C10644,1,高频购买型客户
C10645,1,高频购买型客户
C10646,0,低活跃型客户
C10647,1,高频购买型客户
C10648,2,现金预付型客户
C10649,1,高频购买型客户
C10650,2,现金预付型客户
C10651,2,现金预付型客户
C10652,1,高频购买型客户
C10653,1,高频购买型客户
C10654,1,高频购买型客户
C10655,2,现金预付型客户
C10656,0,低活跃型客户
C10657,2,现金预付型客户
C10658,3,稳健消费型客户
C10659,3,稳健消费型客户
C10660,2,现金预付型客户
C10661,0,低活跃型客户
C10662,3,稳健消费型客户
C10663,0,低活跃型客户
C10665,1,高频购买型客户
C10666,1,高频购买型客户
C10667,3,稳健消费型客户
C10668,1,高频购买型客户
C10669,1,高频购买型客户
C10670,1,高频购买型客户
C10671,1,高频购买型客户
C10672,3,稳健消费型客户
C10673,1,高频购买型客户
C10674,3,稳健消费型客户
C10675,0,低活跃型客户
C10676,0,低活跃型客户
C10677,1,高频购买型客户
C10678,1,高频购买型客户
C10679,2,现金预付型客户
C10680,0,低活跃型客户
C10681,1,高频购买型客户
C10682,1,高频购买型客户
C10683,2,现金预付型客户
C10684,1,高频购买型客户
C10685,2,现金预付型客户
C10686,1,高频购买型客户
C10688,1,高频购买型客户
C10689,1,高频购买型客户
C10690,0,低活跃型客户
C10691,1,高频购买型客户
C10692,2,现金预付型客户
C10693,2,现金预付型客户
C10694,2,现金预付型客户
C10695,1,高频购买型客户
C10696,3,稳健消费型客户
C10697,0,低活跃型客户
C10698,3,稳健消费型客户
C10699,1,高频购买型客户
C10700,2,现金预付型客户
C10701,3,稳健消费型客户
C10702,1,高频购买型客户
C10703,3,稳健消费型客户
C10704,1,高频购买型客户
C10705,2,现金预付型客户
C10706,3,稳健消费型客户
C10707,2,现金预付型客户
C10708,3,稳健消费型客户
C10709,3,稳健消费型客户
C10710,1,高频购买型客户
C10711,3,稳健消费型客户
C10712,0,低活跃型客户
C10713,2,现金预付型客户
C10714,2,现金预付型客户
C10715,2,现金预付型客户
C10716,1,高频购买型客户
C10717,1,高频购买型客户
C10718,1,高频购买型客户
C10719,0,低活跃型客户
C10720,1,高频购买型客户
C10721,0,低活跃型客户
C10722,2,现金预付型客户
C10723,3,稳健消费型客户
C10724,2,现金预付型客户
C10725,1,高频购买型客户
C10726,2,现金预付型客户
C10727,0,低活跃型客户
C10728,0,低活跃型客户
C10729,0,低活跃型客户
C10730,2,现金预付型客户
C10731,1,高频购买型客户
C10732,2,现金预付型客户
C10733,0,低活跃型客户
C10734,3,稳健消费型客户
C10735,1,高频购买型客户
C10736,1,高频购买型客户
C10737,3,稳健消费型客户
C10738,2,现金预付型客户
C10739,1,高频购买型客户
C10740,2,现金预付型客户
C10741,2,现金预付型客户
C10742,3,稳健消费型客户
C10743,3,稳健消费型客户
C10744,2,现金预付型客户
C10745,2,现金预付型客户
C10746,2,现金预付型客户
C10747,3,稳健消费型客户
C10748,0,低活跃型客户
C10749,0,低活跃型客户
C10750,3,稳健消费型客户
C10751,0,低活跃型客户
C10752,1,高频购买型客户
C10753,1,高频购买型客户
C10754,0,低活跃型客户
C10755,1,高频购买型客户
C10756,1,高频购买型客户
C10757,2,现金预付型客户
C10758,0,低活跃型客户
C10759,0,低活跃型客户
C10760,1,高频购买型客户
C10761,1,高频购买型客户
C10762,3,稳健消费型客户
C10763,2,现金预付型客户
C10764,2,现金预付型客户
C10765,2,现金预付型客户
C10766,3,稳健消费型客户
C10767,0,低活跃型客户
C10768,2,现金预付型客户
C10769,0,低活跃型客户
C10770,3,稳健消费型客户
C10771,0,低活跃型客户
C10772,2,现金预付型客户
C10773,2,现金预付型客户
C10774,2,现金预付型客户
C10775,1,高频购买型客户
C10776,1,高频购买型客户
C10777,3,稳健消费型客户
C10779,2,现金预付型客户
C10780,3,稳健消费型客户
C10781,0,低活跃型客户
C10782,3,稳健消费型客户
C10783,3,稳健消费型客户
C10784,3,稳健消费型客户
C10785,3,稳健消费型客户
C10786,1,高频购买型客户
C10787,1,高频购买型客户
C10788,3,稳健消费型客户
C10789,2,现金预付型客户
C10790,3,稳健消费型客户
C10791,3,稳健消费型客户
C10792,2,现金预付型客户
C10793,0,低活跃型客户
C10794,2,现金预付型客户
C10795,0,低活跃型客户
C10796,3,稳健消费型客户
C10797,1,高频购买型客户
C10798,2,现金预付型客户
C10799,1,高频购买型客户
C10800,0,低活跃型客户
C10801,1,高频购买型客户
C10803,2,现金预付型客户
C10804,2,现金预付型客户
C10805,1,高频购买型客户
C10806,1,高频购买型客户
C10807,0,低活跃型客户
C10808,3,稳健消费型客户
C10809,3,稳健消费型客户
C10810,0,低活跃型客户
C10811,1,高频购买型客户
C10812,1,高频购买型客户
C10813,2,现金预付型客户
C10814,2,现金预付型客户
C10815,3,稳健消费型客户
C10816,0,低活跃型客户
C10817,0,低活跃型客户
C10818,3,稳健消费型客户
C10819,2,现金预付型客户
C10820,2,现金预付型客户
C10821,0,低活跃型客户
C10822,0,低活跃型客户
C10823,2,现金预付型客户
C10824,2,现金预付型客户
C10825,0,低活跃型客户
C10826,2,现金预付型客户
C10827,2,现金预付型客户
C10828,2,现金预付型客户
C10829,3,稳健消费型客户
C10830,1,高频购买型客户
C10831,0,低活跃型客户
C10832,3,稳健消费型客户
C10833,2,现金预付型客户
C10834,0,低活跃型客户
C10835,1,高频购买型客户
C10836,1,高频购买型客户
C10837,2,现金预付型客户
C10838,3,稳健消费型客户
C10839,3,稳健消费型客户
C10840,2,现金预付型客户
C10841,3,稳健消费型客户
C10843,0,低活跃型客户
C10844,2,现金预付型客户
C10845,2,现金预付型客户
C10846,1,高频购买型客户
C10847,0,低活跃型客户
C10848,2,现金预付型客户
C10849,0,低活跃型客户
C10850,0,低活跃型客户
C10852,2,现金预付型客户
C10853,2,现金预付型客户
C10854,2,现金预付型客户
C10855,1,高频购买型客户
C10856,0,低活跃型客户
C10857,3,稳健消费型客户
C10858,2,现金预付型客户
C10859,1,高频购买型客户
C10860,3,稳健消费型客户
C10861,0,低活跃型客户
C10862,0,低活跃型客户
C10863,0,低活跃型客户
C10864,2,现金预付型客户
C10865,1,高频购买型客户
C10866,1,高频购买型客户
C10867,2,现金预付型客户
C10868,2,现金预付型客户
C10869,2,现金预付型客户
C10870,0,低活跃型客户
C10871,1,高频购买型客户
C10872,3,稳健消费型客户
C10873,3,稳健消费型客户
C10874,3,稳健消费型客户
C10875,1,高频购买型客户
C10876,3,稳健消费型客户
C10877,2,现金预付型客户
C10878,2,现金预付型客户
C10879,3,稳健消费型客户
C10880,1,高频购买型客户
C10881,2,现金预付型客户
C10882,3,稳健消费型客户
C10883,0,低活跃型客户
C10884,3,稳健消费型客户
C10885,1,高频购买型客户
C10886,0,低活跃型客户
C10887,1,高频购买型客户
C10888,1,高频购买型客户
C10889,0,低活跃型客户
C10890,2,现金预付型客户
C10891,2,现金预付型客户
C10892,1,高频购买型客户
C10893,1,高频购买型客户
C10894,1,高频购买型客户
C10895,2,现金预付型客户
C10896,0,低活跃型客户
C10897,3,稳健消费型客户
C10898,0,低活跃型客户
C10899,0,低活跃型客户
C10900,0,低活跃型客户
C10901,3,稳健消费型客户
C10902,1,高频购买型客户
C10903,0,低活跃型客户
C10904,0,低活跃型客户
C10905,1,高频购买型客户
C10906,0,低活跃型客户
C10907,2,现金预付型客户
C10908,0,低活跃型客户
C10909,3,稳健消费型客户
C10910,0,低活跃型客户
C10911,0,低活跃型客户
C10912,2,现金预付型客户
C10913,3,稳健消费型客户
C10914,3,稳健消费型客户
C10915,1,高频购买型客户
C10916,0,低活跃型客户
C10917,1,高频购买型客户
C10918,1,高频购买型客户
C10919,2,现金预付型客户
C10920,1,高频购买型客户
C10921,1,高频购买型客户
C10922,1,高频购买型客户
C10923,0,低活跃型客户
C10924,3,稳健消费型客户
C10925,1,高频购买型客户
C10926,1,高频购买型客户
C10927,2,现金预付型客户
C10928,2,现金预付型客户
C10929,3,稳健消费型客户
C10930,2,现金预付型客户
C10931,0,低活跃型客户
C10932,0,低活跃型客户
C10933,3,稳健消费型客户
C10934,3,稳健消费型客户
C10935,0,低活跃型客户
C10936,2,现金预付型客户
C10937,0,低活跃型客户
C10939,2,现金预付型客户
C10940,1,高频购买型客户
C10941,3,稳健消费型客户
C10942,3,稳健消费型客户
C10943,2,现金预付型客户
C10944,2,现金预付型客户
C10945,2,现金预付型客户
C10946,2,现金预付型客户
C10947,2,现金预付型客户
C10949,1,高频购买型客户
C10950,1,高频购买型客户
C10951,2,现金预付型客户
C10952,1,高频购买型客户
C10953,2,现金预付型客户
C10954,2,现金预付型客户
C10955,3,稳健消费型客户
C10956,2,现金预付型客户
C10957,3,稳健消费型客户
C10958,2,现金预付型客户
C10959,1,高频购买型客户
C10960,2,现金预付型客户
C10961,3,稳健消费型客户
C10962,0,低活跃型客户
C10963,0,低活跃型客户
C10965,2,现金预付型客户
C10966,3,稳健消费型客户
C10967,0,低活跃型客户
C10968,2,现金预付型客户
C10969,2,现金预付型客户
C10970,1,高频购买型客户
C10971,0,低活跃型客户
C10972,1,高频购买型客户
C10973,3,稳健消费型客户
C10974,2,现金预付型客户
C10975,1,高频购买型客户
C10976,3,稳健消费型客户
C10977,3,稳健消费型客户
C10978,1,高频购买型客户
C10979,0,低活跃型客户
C10980,2,现金预付型客户
C10981,2,现金预付型客户
C10982,0,低活跃型客户
C10983,2,现金预付型客户
C10984,2,现金预付型客户
C10985,1,高频购买型客户
C10986,1,高频购买型客户
C10987,2,现金预付型客户
C10988,3,稳健消费型客户
C10989,2,现金预付型客户
C10990,0,低活跃型客户
C10991,2,现金预付型客户
C10992,2,现金预付型客户
C10993,0,低活跃型客户
C10994,1,高频购买型客户
C10995,0,低活跃型客户
C10996,3,稳健消费型客户
C10997,2,现金预付型客户
C10998,2,现金预付型客户
C10999,2,现金预付型客户
C11000,1,高频购买型客户
C11001,1,高频购买型客户
C11002,2,现金预付型客户
C11003,3,稳健消费型客户
C11004,1,高频购买型客户
C11005,1,高频购买型客户
C11006,0,低活跃型客户
C11007,3,稳健消费型客户
C11008,0,低活跃型客户
C11009,1,高频购买型客户
C11010,1,高频购买型客户
C11011,3,稳健消费型客户
C11012,0,低活跃型客户
C11013,2,现金预付型客户
C11014,2,现金预付型客户
C11015,1,高频购买型客户
C11016,1,高频购买型客户
